Prev Close,Open,High,Low,VWAP,Volume,Turnover,Close
267.8,259.5,264.75,250,258.87,13783000,3.57E+14,253.05
253.05,252.6,267.9,251.6,260.7,17401500,4.54E+14,263.8
263.8,271.5,273.9,261.3,268.57,13124850,3.52E+14,263.05
263.05,263.05,270.3,259.55,264.36,15902300,4.20E+14,267.3
267.3,268.5,275.45,266,270.66,16212500,4.39E+14,273.65
273.65,273.75,274.5,267.9,272.05,11531900,3.14E+14,272.65
272.65,270.95,276.95,270,274.03,9061450,2.48E+14,274.9
274.9,275,278.25,271.6,275.42,8989150,2.48E+14,273.85
273.85,272.25,274.95,270.6,272.62,7228650,1.97E+14,272.85
272.85,272,275,271.75,273.98,5155050,1.41E+14,274
274,277.5,280,273.5,276.53,8347150,2.31E+14,275.15
275.15,275.5,275.5,266.25,270.57,8953500,2.42E+14,268.25
268.25,270.1,273.6,266.45,270.17,10367550,2.80E+14,272.85
272.85,272,273.5,268.65,271.34,7473750,2.03E+14,270.15
270.15,268,269.35,265.4,267.39,7154250,1.91E+14,266.3
266.3,264.3,264.5,255.05,259.14,8546150,2.21E+14,256.3
256.3,255,268.85,253.05,263,18325350,4.82E+14,261.5
261.5,259.9,265.5,258.4,261.94,9192800,2.41E+14,263.85
263.85,265.1,270.75,264.9,267.46,9974050,2.67E+14,269.7
269.7,291.25,299,286,291.71,5895150,1.72E+14,293.75
272.2,301.95,313.75,299.1,304.79,14948700,4.56E+14,309.9
309.9,307.1,313.5,303.5,308.93,11965950,3.70E+14,305.2
305.2,306.5,309.95,302.45,306.19,10456000,3.20E+14,307.9
307.9,318,319.95,298.2,307.37,22387500,6.88E+14,303.95
303.95,299.1,303,296.5,299.71,14908400,4.47E+14,300.7
300.7,294.4,294.4,284.6,289.87,13707900,3.97E+14,286.2
286.2,284,287,268,277.56,20267850,5.63E+14,270.95
270.95,280.9,283.85,274.6,278.69,15580550,4.34E+14,278.75
278.75,281.45,281.85,273.4,276.77,9928400,2.75E+14,275.1
275.1,272,285,270.8,279.71,24243700,6.78E+14,280.65
280.65,281.95,286,278.6,282.79,16957000,4.80E+14,284.55
284.55,284.5,292.9,283.6,288.4,16542950,4.77E+14,288.3
288.3,293.95,295.25,281,287.26,12680400,3.64E+14,282.35
282.35,280.5,287.95,277.25,282.01,15359450,4.33E+14,284.25
284.25,288,290.9,286.25,288.82,10620500,3.07E+14,288.55
288.55,290.75,292,286.05,289,11376050,3.29E+14,288.55
288.55,291.75,295.9,290.55,292.98,14903950,4.37E+14,291.7
291.7,290.5,292.7,288.5,290.51,7979500,2.32E+14,291.6
291.6,271.2,271.2,262.45,267.22,130200,3.48E+12,262.8
262.8,242.35,265.95,240,258.33,17109400,4.42E+14,261.1
261.1,269.9,271.85,262.25,266.45,13204150,3.52E+14,265.5
265.5,265.95,269.75,263.2,267.2,10406300,2.78E+14,267.9
267.9,263.9,267.75,262.05,265.44,6981150,1.85E+14,266.75
266.75,265.75,265.95,262.3,264.65,6338250,1.68E+14,264.05
264.05,271.9,275.15,270.15,273.02,12600250,3.44E+14,274.25
274.25,270.5,271.75,256.25,266.63,12283450,3.28E+14,266.1
266.1,257,270.95,256.55,264.49,10105700,2.67E+14,267.8
267.8,263,268,261.55,263.62,4660300,1.23E+14,262.95
262.95,267.75,269.4,263.6,265.93,6776600,1.80E+14,265.55
265.55,269,280.85,267.8,275.59,12869650,3.55E+14,279.7
279.7,281.5,299.3,281.1,289.29,14540950,4.21E+14,299.2
299.2,306,318,297.05,308.63,25944750,8.01E+14,302.85
302.85,310,311,305.5,308.49,13670350,4.22E+14,306.6
306.6,307.85,308.75,303.1,305.65,10028900,3.07E+14,304.6
304.6,302.95,306.1,302.3,304.68,8658650,2.64E+14,305.45
305.45,305,307.6,303.5,305.5,6193600,1.89E+14,305.2
305.2,304.05,305.7,303.1,304.37,5587550,1.70E+14,305.15
305.15,312.5,314.75,309,311.03,12137950,3.78E+14,309.7
309.7,307,307.95,304.75,306.03,5832150,1.78E+14,305.35
305.35,301.2,302.5,298.3,300.12,9205300,2.76E+14,299.15
299.15,300,304,299.05,301.11,7088650,2.13E+14,302.8
302.8,304,304,300.2,301.91,4934700,1.49E+14,300.8
300.8,300.9,302.4,299.4,301.34,3548150,1.07E+14,301.85
301.85,302.5,302.9,300.5,301.5,3044550,9.18E+13,301.2
301.2,301,301.75,292.1,296.33,9763950,2.89E+14,292.9
292.9,292.5,294.5,291.6,292.84,5936350,1.74E+14,292.65
292.65,292.8,296.9,288.15,292.41,12775250,3.74E+14,296.05
296.05,294.25,296.5,293.25,294.86,6991100,2.06E+14,294.15
294.15,293.5,295.5,293.1,294.42,4154700,1.22E+14,294.75
294.75,298,301.1,295.65,298.26,5753500,1.72E+14,297.15
297.15,297.25,298.8,296.2,297.19,2307100,6.86E+13,297.1
297.1,297,297,291.55,294.14,5477750,1.61E+14,292.5
292.5,293.1,293.5,287.5,289.57,8790600,2.55E+14,289.85
289.85,289,294.45,286.6,290.28,11900650,3.45E+14,290.25
290.25,289.25,291.2,287.5,289.24,5089150,1.47E+14,288.15
288.15,289.3,292.4,282.2,287.7,12075100,3.47E+14,284.65
284.65,286,287.85,281.85,284.62,5179250,1.47E+14,282.55
282.55,281.9,296.2,280.9,289.29,18112100,5.24E+14,294.25
294.25,296.05,302.4,294.25,298.94,17128750,5.12E+14,301.05
301.05,303.5,305.95,300.55,303.36,11702900,3.55E+14,304.55
304.55,305,310.9,301,306.11,12898300,3.95E+14,303.35
303.35,306,307.35,302.55,304.41,6239400,1.90E+14,303.75
303.75,306.4,315.25,305.3,310.71,21223850,6.59E+14,310.75
310.75,312,313.25,307.5,310.08,9691350,3.01E+14,308.15
